اسم البرنامج,الرابط القصير,الرابط الطويل,الإحداثيات
سرج,https://maps.app.goo.gl/DDPr5h9hTDb6uunC6,"https://maps.google.com/maps?q=%D9%85%D9%83%D8%AA%D8%A8+%D8%A7%D9%84%D9%86%D9%85%D8%A7%D8%A1+%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D9%88%D9%8A%D8%A9%D8%8C+7565%D8%8C+3470+%D8%B7%D9%84%D8%AD%D8%A9+%D8%A8%D9%86+%D8%B9%D8%A8%D9%8A%D8%AF+%D8%A7%D9%84%D9%84%D9%87%D8%8C+%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+14251&ftid=0x3e2f0704b1823aa3:0x60551e6aee02e0a6&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813464,94286869&g_ep=CAISEjI2LjIzLjUuOTI0MzY0MTg2MBgAIIgnKkksOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY0LDk0Mjg2ODY5QgJTQQ%3D%3D&skid=46a5e0a8-fa98-468d-99c8-8dcd536b3288",لا توجد إحداثيات
ألق تِك,https://maps.app.goo.gl/qmDxPKNeJpAyYZqX7,"https://maps.google.com/maps?q=%D9%85%D9%83%D8%AA%D8%A8+%D8%A7%D9%84%D9%86%D9%85%D8%A7%D8%A1+%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D9%88%D9%8A%D8%A9%D8%8C+7565%D8%8C+3470+%D8%B7%D9%84%D8%AD%D8%A9+%D8%A8%D9%86+%D8%B9%D8%A8%D9%8A%D8%AF+%D8%A7%D9%84%D9%84%D9%87%D8%8C+%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+14251&ftid=0x3e2f0704b1823aa3:0x60551e6aee02e0a6&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813464,94286869&g_ep=CAISEjI2LjIzLjUuOTI0MzY0MTg2MBgAIIgnKkksOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY0LDk0Mjg2ODY5QgJTQQ%3D%3D&skid=d2c59942-14a2-455f-bd61-d6bed1e7d093",لا توجد إحداثيات
حصن,https://maps.app.goo.gl/rRuDswNCwaErrp5cA,"https://maps.google.com/maps?q=%D9%85%D9%83%D8%AA%D8%A8+%D8%A7%D9%84%D9%86%D9%85%D8%A7%D8%A1+%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D9%88%D9%8A%D8%A9%D8%8C+7565%D8%8C+3470+%D8%B7%D9%84%D8%AD%D8%A9+%D8%A8%D9%86+%D8%B9%D8%A8%D9%8A%D8%AF+%D8%A7%D9%84%D9%84%D9%87%D8%8C+%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+14251&ftid=0x3e2f0704b1823aa3:0x60551e6aee02e0a6&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813464,94286869&g_ep=CAISEjI2LjIzLjUuOTI0MzY0MTg2MBgAIIgnKkksOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY0LDk0Mjg2ODY5QgJTQQ%3D%3D&skid=31dc666c-3418-49d9-a0c4-1e867704bf22",لا توجد إحداثيات
بواكير,https://maps.app.goo.gl/rRuDswNCwaErrp5cA,"https://maps.google.com/maps?q=%D9%85%D9%83%D8%AA%D8%A8+%D8%A7%D9%84%D9%86%D9%85%D8%A7%D8%A1+%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D9%88%D9%8A%D8%A9%D8%8C+7565%D8%8C+3470+%D8%B7%D9%84%D8%AD%D8%A9+%D8%A8%D9%86+%D8%B9%D8%A8%D9%8A%D8%AF+%D8%A7%D9%84%D9%84%D9%87%D8%8C+%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+14251&ftid=0x3e2f0704b1823aa3:0x60551e6aee02e0a6&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813464,94286869&g_ep=CAISEjI2LjIzLjUuOTI0MzY0MTg2MBgAIIgnKkksOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY0LDk0Mjg2ODY5QgJTQQ%3D%3D&skid=31dc666c-3418-49d9-a0c4-1e867704bf22",لا توجد إحداثيات
اللبنة الرابعة,https://share.google/i6Tuit7y8oLNJAtk4,⚠️ رابط غير واضح: https://www.google.com/share.google?q=i6Tuit7y8oLNJAtk4,لا توجد إحداثيات
صيف نبع 2026,https://maps.app.goo.gl/xs1PkAdR8rDE9H8h7,"https://maps.google.com/maps?q=%D9%85%D8%AF%D8%A7%D8%B1%D8%B3+%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D8%B1%D9%82+%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9%D8%8C+%D8%AC%D9%84%D9%88%D9%8A+%D8%A8%D9%86+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%85%D8%AD%D8%B3%D9%86%D8%8C+%D8%A7%D9%84%D8%B1%D9%88%D8%A7%D8%A8%D9%8A%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+42421&ftid=0x3e2f076b3eae8fe1:0x9aadedcf3c5ce9ab&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,100809209,94218641,94282134,100813469,94286869&g_ep=CAISEjI2LjIxLjEuOTE3Mzg1NDY3MBgAIIgnKlMsOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsMTAwODA5MjA5LDk0MjE4NjQxLDk0MjgyMTM0LDEwMDgxMzQ2OSw5NDI4Njg2OUICU0E%3D&skid=efd8aafe-701f-49ed-abe8-e62a101ae1a8",لا توجد إحداثيات
ارجوحة,https://maps.app.goo.gl/d26Kwk4DNfQ5vGwt8,"https://maps.google.com/maps?q=%D9%85%D8%AF%D8%A7%D8%B1%D8%B3+%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D8%B1%D9%82+%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9%D8%8C+%D8%AC%D9%84%D9%88%D9%8A+%D8%A8%D9%86+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%85%D8%AD%D8%B3%D9%86%D8%8C+%D8%A7%D9%84%D8%B1%D9%88%D8%A7%D8%A8%D9%8A%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+42421&ftid=0x3e2f076b3eae8fe1:0x9aadedcf3c5ce9ab&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813464,94286869,100804975&g_ep=CAISEjI2LjIxLjEuOTE3Mzg1NDY3MBgAIIgnKlMsOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY0LDk0Mjg2ODY5LDEwMDgwNDk3NUICU0E%3D&skid=c2f48e87-e972-425d-9f85-fe6de3a6bc2c",لا توجد إحداثيات
فيض الرواد,https://maps.app.goo.gl/uZngbrihmLerEEj29,"https://maps.google.com/maps?q=%D9%81%D8%B1%D9%8A%D9%82+%D9%81%D9%8A%D8%B6+%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%8C+7986+%D8%B9%D8%A7%D8%B7%D9%81+%D8%A8%D9%86+%D9%82%D8%A7%D8%B3%D9%85%D8%8C+%D8%A7%D9%84%D8%B1%D9%88%D8%A7%D8%A8%D9%8A%D8%8C+4784%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+14216&ftid=0x3e2f075f4748c5cd:0xc47ba6f1892541be&entry=gps&lucs=,94224825,94227247,94227248,47071704,47069508,94218641,94233073,94203019,47084304,94208458,94208447&g_ep=CAISDTYuMTQyLjAuOTE5NzAYACCs3wEqYyw5NDIyNDgyNSw5NDIyNzI0Nyw5NDIyNzI0OCw0NzA3MTcwNCw0NzA2OTUwOCw5NDIxODY0MSw5NDIzMzA3Myw5NDIwMzAxOSw0NzA4NDMwNCw5NDIwODQ1OCw5NDIwODQ0N0ICU0E%3D",لا توجد إحداثيات
صيف صاد,https://maps.app.goo.gl/vR4xL7usBG2FA8DU9,"https://maps.google.com/maps?q=%D8%B1%D9%88%D8%B6%D8%A9+%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%8C+4994+%D8%A7%D9%84%D8%B7%D8%B1%D9%8A%D9%82+%D8%A7%D9%84%D8%AF%D8%A7%D8%A6%D8%B1%D9%8A+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A+%D8%A7%D9%84%D9%81%D8%B1%D8%B9%D9%8A%D8%8C+%D8%A7%D9%84%D8%B5%D9%81%D8%A7%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+12853&ftid=0x3e2f06fac073e029:0x942587c0b1bc226c&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813469,94286869,100813014&g_ep=CAISEjI2LjIzLjUuOTI0MzY0MTg2MBgAIIgnKlMsOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY5LDk0Mjg2ODY5LDEwMDgxMzAxNEICU0E%3D&skid=09124207-c978-4429-ac45-008e19178864",لا توجد إحداثيات
معين,https://maps.app.goo.gl/gmof9BFV5tEee22m6,"https://maps.google.com/maps?q=%D9%85%D8%AF%D8%A7%D8%B1%D8%B3+%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D8%B1%D9%82+%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9%D8%8C+%D8%AC%D9%84%D9%88%D9%8A+%D8%A8%D9%86+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%85%D8%AD%D8%B3%D9%86%D8%8C+%D8%A7%D9%84%D8%B1%D9%88%D8%A7%D8%A8%D9%8A%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+42421&ftid=0x3e2f076b3eae8fe1:0x9aadedcf3c5ce9ab&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,100808654,94282134,100813469,94286869&g_ep=CAISEjI2LjIzLjUuOTI0MzY0MTg2MBgAIIgnKlMsOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsMTAwODA4NjU0LDk0MjgyMTM0LDEwMDgxMzQ2OSw5NDI4Njg2OUICU0E%3D&skid=3ff36858-17be-4da0-8029-db3653468311",لا توجد إحداثيات
